title,description,published date,url,source
Opinion | The Truth Behind Trump’s ‘Rocking’ Economy - The New York Times,Opinion | The Truth Behind Trump’s ‘Rocking’ Economy  The New York Times,"Sun, 23 Aug 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDgvMjMvb3Bpbmlvbi90cnVtcC1jb252ZW50aW9uLWVjb25vbXkuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,The New York Times
Trump administration pushing to reopen much of the U.S. next month - The Washington Post,Trump administration pushing to reopen much of the U.S. next month  The Washington Post,"Thu, 09 Apr 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uYXRpb25hbC90cnVtcC1yZW9wZW4tdXMtZWNvbm9teS8yMDIwLzA0LzA5LzEwZDQyYjRhLTdhN2ItMTFlYS05YmVlLWM1YmY5ZDJlMzI4OF9zdG9yeS5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,The Washington Post
About That Trump Economy . . . - Cato Institute,About That Trump Economy . . .  Cato Institute,"Mon, 22 Jun 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmNhdG8ub3JnL2NvbW1lbnRhcnkvYWJvdXQtdHJ1bXAtZWNvbm9tedIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Cato Institute
Trump wants 'packed churches' and economy open again on Easter despite the deadly threat of coronavirus - CNBC,Trump wants 'packed churches' and economy open again on Easter despite the deadly threat of coronavirus  CNBC,"Tue, 24 Mar 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDMvMjQvY29yb25hdmlydXMtcmVzcG9uc2UtdHJ1bXAtd2FudHMtdG8tcmVvcGVuLXVzLWVjb25vbXktYnktZWFzdGVyLmh0bWzSAWhodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMC8wMy8yNC9jb3JvbmF2aXJ1cy1yZXNwb25zZS10cnVtcC13YW50cy10by1yZW9wZW4tdXMtZWNvbm9teS1ieS1lYXN0ZXIuaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en,CNBC
"Trump says he wants the country 'opened up and just raring to go by Easter,' despite health experts' warnings - CNN","Trump says he wants the country 'opened up and just raring to go by Easter,' despite health experts' warnings  CNN","Tue, 24 Mar 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wMy8yNC9wb2xpdGljcy90cnVtcC1lYXN0ZXItZWNvbm9teS1jb3JvbmF2aXJ1cy9pbmRleC5odG1s0gFMaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wMy8yNC9wb2xpdGljcy90cnVtcC1lYXN0ZXItZWNvbm9teS1jb3JvbmF2aXJ1cw?oc=5&hl=en-US&gl=US&ceid=US:en,CNN
"Trump signs $484 billion measure to aid employers, hospitals - PBS NewsHour","Trump signs $484 billion measure to aid employers, hospitals  PBS NewsHour","Fri, 24 Apr 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnBicy5vcmcvbmV3c2hvdXIvZWNvbm9teS90cnVtcC1zaWducy00ODQtYmlsbGlvbi1tZWFzdXJlLXRvLWFpZC1lbXBsb3llcnMtaG9zcGl0YWxz0gFjaHR0cHM6Ly93d3cucGJzLm9yZy9uZXdzaG91ci9hbXAvZWNvbm9teS90cnVtcC1zaWducy00ODQtYmlsbGlvbi1tZWFzdXJlLXRvLWFpZC1lbXBsb3llcnMtaG9zcGl0YWxz?oc=5&hl=en-US&gl=US&ceid=US:en,PBS NewsHour
"Trump And Biden On The Economy, Taxes, Jobs - NPR","Trump And Biden On The Economy, Taxes, Jobs  NPR","Fri, 16 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMC8xMC8xNi85MTkxNjIzOTIvdHJ1bXBzLWFuZC1iaWRlbi1zLXBsYW5zLWZvci10aGUtZWNvbm9tedIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,NPR
Trump's Economy: 7 Broken Promises to Working Americans - Center for American Progress Action - Center for American Progress Action Fund,Trump's Economy: 7 Broken Promises to Working Americans - Center for American Progress Action  Center for American Progress Action Fund,"Mon, 03 Feb 2020 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmFtZXJpY2FucHJvZ3Jlc3NhY3Rpb24ub3JnL2FydGljbGUvdHJ1bXBzLWVjb25vbXktNy1icm9rZW4tcHJvbWlzZXMtd29ya2luZy1hbWVyaWNhbnMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Center for American Progress Action Fund
Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs. (Published 2020) - The New York Times,Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs. (Published 2020)  The New York Times,"Tue, 31 Mar 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDMvMzEvY2xpbWF0ZS90cnVtcC1wb2xsdXRpb24tcm9sbGJhY2suaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,The New York Times
"Biden leads Trump by double digits, but more Americans trust Trump on economy despite historic recession - PBS NewsHour","Biden leads Trump by double digits, but more Americans trust Trump on economy despite historic recession  PBS NewsHour","Fri, 18 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5wYnMub3JnL25ld3Nob3VyL3BvbGl0aWNzL2JpZGVuLWxlYWRzLXRydW1wLWJ5LWRvdWJsZS1kaWdpdHMtYnV0LW1vcmUtYW1lcmljYW5zLXRydXN0LXRydW1wLW9uLWVjb25vbXktZGVzcGl0ZS1oaXN0b3JpYy1yZWNlc3Npb27SAZEBaHR0cHM6Ly93d3cucGJzLm9yZy9uZXdzaG91ci9hbXAvcG9saXRpY3MvYmlkZW4tbGVhZHMtdHJ1bXAtYnktZG91YmxlLWRpZ2l0cy1idXQtbW9yZS1hbWVyaWNhbnMtdHJ1c3QtdHJ1bXAtb24tZWNvbm9teS1kZXNwaXRlLWhpc3RvcmljLXJlY2Vzc2lvbg?oc=5&hl=en-US&gl=US&ceid=US:en,PBS NewsHour
